fecha,estacionMeteorologica,provincia,precipitacion
2017-10-31,Herrera del Duque,Badajoz,12.0
2017-10-30,Peraleda del Zaucejo,Badajoz,13.0
2017-10-02,Castuera,Badajoz,21.0
2017-10-01,Navalvillar de Pela,Badajoz,45.0
2017-10-20,Don Benito,Badajoz,1.0
2017-10-10,Llerena,Badajoz,2.3
2017-10-15,Villafranca de los Barros,Badajoz,4.5
2017-10-18,Mï¿½rida,Badajoz,4.5
2017-10-23,Zafra,Badajoz,3.2
2017-10-24,Almendralejo,Badajoz,7.9
2017-10-18,Badajoz Aeropuerto,Badajoz,5.5
2017-10-31,Alburquerque,Badajoz,6.1
2017-10-18,Puebla de Obando,Badajoz,3.3
2017-10-31,Badajoz,Badajoz,2.2
2017-10-27,Olivenza,Badajoz,7.0
2017-10-14,Alconchel,Badajoz,2.0
2017-10-12,Barcarrota,Badajoz,1.0
2017-10-13,Villanueva del Fresno,Badajoz,2.0
2017-10-29,Monesterio,Badajoz,5.0
2017-10-30,Fuente de Cantos,Badajoz,3.3
2017-10-31,Jerez de los Caballeros,Badajoz,4.4
2017-10-01,Azuaga,Badajoz,12.0
2017-10-04,Azuaga,Badajoz,13.0
